UUID,Newspaper Title,Abbreviated Title,City of Publication,Province of Publication,Country of Publication,Geographic Coverage,Publisher,First Issue Verbatim Date,First Issue Start Date,First Issue End Date,Last Issue Verbatim Date,Last Issue Start Date,Last Issue End Date,Frequency,Subject/Blurb,ISSN,Credit,Internal: ingest status
51,The Standard Magazine,,Montréal,QC,CA,,Montréal Standard Pub. Co. ,1939,01/01/1939,31/12/1939,1953?,01/01/1953,31/12/1953,Weekly,,0830-4513,Library and Archives Canada,0
52,The Star (1906),TS,Saint John,NB,CA,,Sun Publishing Company,01-Jul-06,01/07/1906,,12-Mar-10,12/03/1910,,Weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
53,The Sussex Valley Register,SVR,Sussex,NB,CA,,,08-Oct-80,08/10/1980,,08-Oct-80,08/10/1980,,Weekly,,Not Found,PANB Newspaper Directory,0
54,Telegraph and New Brunswick General Register,,Woodstock,NB,CA,,"McLauchlin, James",1840,01/01/1840,31/12/1840,"December 24, 1847",24/12/1847,,Weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
55,The Telegraph,TT,,,US,,,,,,,,,,,,,0
56,The Times Literary Supplement,,,,US,,,,,,,,,,,,,0
57,The Times,,Saint John,NB,CA,,"Woodrow, Ross","March 10, 1853",10/03/1853,,?,,,Weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
58,The Toronto Weekly Mail,,Toronto,ON,CA,,Mail Printing Co.,"August 6, 1880",06/08/1880,,1895,01/01/1895,31/12/1895,Weekly,"Canada, Ontario, Toronto",0839-380X,Library and Archives Canada,0
59,Tracadie News,TN,Tracadie,NB,CA,,,15-Mar-47,15/03/1947,,,,,,,Not Found,Library and Archives Canada,0
60,True Democracy,TD,Fredericton,NB,CA,,,1945,01/01/1945,31/12/1945,1948,01/01/1948,31/12/1948,Bimonthly,,Not Found,PANB Newspaper Directory,0
61,The Truro Gleaner,,,,US,,,,,,,,,,,,,0
62,Victoria County News,VCN,Grand Falls,NB,CA,,J.W. Correll,1900,01/01/1900,31/12/1900,1920,01/01/1920,31/12/1920,Weekly,,Not Found,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
63,The Weekly Gleaner,WG,Fredericton,NB,CA,,,1886,01/01/1886,31/12/1886,1886,01/01/1886,31/12/1886,Weekly,,Not Found,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
64,Woodstock Weekly Clipper,,Woodstock,NB,CA,,"Colter, George","November 1, 1877",01/11/1877,,1878,01/01/1878,31/12/1878,Unknown,,,PANB Newspaper Directory,0
66,The Amaranth,TA,Fredericton,NB,CA,,,1849,01/01/1849,31/12/1849,1851,01/01/1851,31/12/1851,Weekly,,,PANB Newspaper Directory,1
67,British Colonist and Mechanics' And The Traders' Advocate,BCMTA,Saint John,NB,CA,,,"January 5, 1836",05/01/1836,,"December 27, 1836",27/12/1836,,Weekly,,,PANB Newspaper Directory,1
68,The Cartoon,TC,Saint John,NB,CA,,,8/20/1878,20/08/1878,,9/10/1878,09/10/1878,,Weekly,,Not Found,PANB Newspaper Directory,1
70,The Daily Herald,DH,Fredericton,NB,CA,,The Herald Printing and Publishing Co.,"April 24, 1882",24/04/1882,,07-Sep-09,07/09/1909,,Daily,,Not Found,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",1
72,Evening Times,ET,Saint John,NB,CA,New Brunswick,,09-Feb-05,09/02/1905,,03-Mar-10,03/03/1910,,Daily,,0836-8694,HIL Microforms,1
73,The Herald,TH,St. Andrews,NB,CA,,,1827?,01/01/1827,31/12/1827,1828,01/01/1828,31/12/1828,Weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",1
74,The Loyalist and Conservative Advocate,LC,Fredericton,NB,CA,,,"May 25, 1843",25/05/1843,,"December 25, 1845",25/12/1845,,Weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",1
75,The New Brunswick Chronicle,[subject to change],Saint John,NB,CA,,"Ryan, Michael","January 7, 1804",07/01/1804,,"August 25, 1804",25/08/1804,,Weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",1
77,The Pancuremata,PA,,,US,,,,,,,,,,,,,1
78,The Penny Dip,PD,Saint John,NB,CA,,,"December 28, 1877",28/12/1877,,"July 27, 1878",27/07/1878,,Weekly,,,PANB Newspaper Directory,1
79,The Polymorphian,PM,Saint John,NB,CA,,South End Polymorphian Club,"May 29, 1897",29/05/1897,,?,,,Weekly?,Queen Victoria of Great Britan,Not Found,Library and Archives Canada,1
80,Quip,Q,Saint John,NB,CA,,"Smith, David G.","May 9, 1874",09/05/1874,,"October 24, 1874",24/10/1874,,2/monthly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",1
81,Railway News,RN,Saint John,NB,CA,,The Railway News Publishing Co.,1897,01/01/1897,31/12/1897,1899,01/01/1899,31/12/1899,Weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",1
83,The Saint John Mirror,SJM,Saint John,NB,CA,,,"December 2, 1841",02/12/1841,,1843,01/01/1843,31/12/1843,Weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",1
84,The Secret,S,Saint John,NB,CA,,,"March 8, 1879",08/03/1879,,?,,,Weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",1
85,The Sentinel and New Brunswick General Advertiser,SNBGA / SEN,Fredericton,NB,CA,,,"December 11, 1837",11/12/1837,,1844,01/01/1844,31/12/1844,Weekly,,,PANB Newspaper Directory,1
87,Temperance Journal,[unlisted],Fredericton,NB,CA,,"Pitts, Herman A.","July 20, 1885",20/07/1885,,1892,01/01/1892,31/12/1892,Varies,,,,1
89,Temperance Telegraph,[unlisted],Saint John,NB,CA,,,1/24/1844,24/01/1844,,12/1/1860,12/01/1860,,Weekly,,Not Found,PANB Newspaper Directory,1
90,The Mysterious East ,,Fredericton,NB,CA,,Rubber Duck Press,01-Nov-69,01/11/1969,,?,,,Unknown,Atlantic Provinces ,0047-8547,Library and Archives Canada,1
91,The Times; or True Briton,TTB,Saint John,NB,CA,,,"January 21, 1808",21/01/1808,,1811,01/01/1811,31/12/1811,Weekly,,,PANB Newspaper Directory,1
93,Weekly Chronicle,WC,Saint John,NB,CA,,,"September 9, 1836",09/09/1836,,"May 1, 1857",01/05/1857,,Weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",1
94,The West-Side Review,WSR,Saint John,NB,CA,,"Ewing, W.J. ",1878,01/01/1878,31/12/1878,1879,01/01/1879,31/12/1879,2/monthly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",1
96,The Temperance Journal,TJ,Fredericton,NB,CA,,,1883,01/01/1883,31/12/1883,,,,Weekly,,Not Found,"W.W. Butcher's Canadian Newspaper Directory, Canada Newspaper Advertising Agency, Toronto Canada, 1886",?
