ID,Title,SortTitle,Filed As,CallNum,IsPartOf,Related,issn,eissn,country,provState,cityTown,location,holdingCoverage,contentStart,contentEnd,gaps,pubDate,pubHistoryImage,notesTitle,frequency,localNotes,Column,Column2,First Issue Verbatim Date,First Issue Start Date,First Issue End Date,Last Issue Verbatim Date,Last Issue Start Date,Last Issue End Date
11,The Camp Worker,Camp Worker,,HD8101 .C33,41,N,,,CA,BC,Vancouver,HIL-MIC,"May 17, 1919 - June 28, 1919",1919-05-17,1919-06-28,N,"Apr 26, 1919 - June 28, 1919",N,,,,,,26-Apr-19,26/04/1919,,28-Jun-19,28/06/1919,
12,Pacific Coast News,Pacific Coast News,,HD8101 .L66,12,N,,,CA,BC,Vancouver,HIL-MIC,"July 6, 1939 - Feb 1, 1940",1939-07-06,1940-02-01,N,"Aug 1, 1935 - Feb 1, 1940",N,,,Seventh newspaper on the reel.,,,01-Aug-35,01/08/1935,,01-Feb-40,01/02/1940,
13,The Canadian Seaman,"Canadian Seaman (Vancouver, British Columbia)",,HD8101 .C33,13,N,0383-0411,,CA,BC,Vancouver,HIL-MIC,"Aug 18, 1944 - Feb 24, 1945",1944-08-18,1945-02-24,N,"Aug 18, 1944 - Feb 24, 1945",N,,Weekly,Ninth newspaper on the reel. ,,,18-Aug-44,18/08/1944,,24-Feb-45,24/02/1945,
14,"Communication Worker (Vancouver, British Columbia)","Communication Worker (Vancouver, British Columbia)",,HD8102 .S92,14,N,,,CA,BC,Vancouver,HIL-MIC,Jan 1926 - Apr 1927; Mar 1928; Aug 1928 - Sept 1933; Dec 1933,1926-01-01,1933-12-01,Y,Jan 1926 - Dec 1933,N,Supplemented by the Radio Telegraph Bulletin from Feb. 1926 onward.,,Filmed along with Radiotelegraph Bulletin.|Many pages are out of order.,,,Jan-26,01/01/1926,31/01/1926,Dec-33,01/12/1933,31/12/1933
15,The Vancouver Sun (1973),Vancouver Sun (1973),Vancouver Sun,,37,N,0832-1531,,CA,BC,Vancouver,HIL-MIC,"May 29, 1973 - Apr 6, 1983",1973-05-29,1983-04-06,N,"May 29, 1973 - Apr 6, 1983",N,,Daily,,,,29-May-73,29/05/1973,,06-Apr-83,06/04/1983,
16,Fisherman,Fisherman,,HD8101 .F57,16,N,0015-2986,,CA,BC,Vancouver,HIL-MIC,"Mar 11, 1937 - Dec 31, 1995",1937-03-11,1995-12-31,N,"Feb 26, 1937 - Dec 31, 1995",N,,,,,,26-Feb-37,26/02/1937,,31-Dec-95,31/12/1995,
17,Heavy Lift,Heavy Lift,,HD8102 .C61,17,N,,,CA,BC,Vancouver,HIL-MIC,"Nov 10, 1933 - July 8, 1935",1933-11-10,1935-07-08,N,"May 8, 1933 - July 8, 1935",N,,Monthly,Sixth newspaper on the reel.,,,08-May-33,08/05/1933,,08-Jul-35,08/07/1935,
18,Labor Star,Labor Star,,HD8102 .C61,18,N,,,CA,BC,Vancouver,HIL-MIC,"Jan 16, 1919 - Mar 20, 1919",1919-01-16,1919-03-20,N,"Jan 16, 1919 - Mar 20, 1919",N,,Weekly,Tenth newspaper on the reel.,,,16-Jan-19,16/01/1919,,20-Mar-19,20/03/1919,
19,Canadian Labour Herald,Canadian Labour Herald,,HD8101 .C33,19,N,,,CA,BC,Vancouver,HIL-MIC,Oct 1937 - Apr 1942,1937-10-01,1942-04-01,N,Oct 1937 - Apr 1942,N,,Monthly,Seventh newspaper on the reel. ,,,Oct-37,01/10/1937,31/10/1937,Apr-42,01/04/1942,30/04/1942
20,Main Deck,Main Deck,,HD8101 .L66,20,N,0383-7769,,CA,BC,Vancouver,HIL-MIC,"June 16, 1943 - Dec 1, 1943",1943-06-16,1943-12-01,N,"June 9, 1943 - Dec 1, 1943",N,,,Third newspaper on the reel. ,,,09-Jun-43,09/06/1943,,01-Dec-43,01/12/1943,
21,"The Sun (Vancouver, British Columbia : 1912)",Morning Sun,,HD8102 .S87 ,37,N,0839-4784,,CA,BC,Vancouver,HIL-MIC,"Feb 12, 1912 - Dec 30, 1916",1912-02-12,1917-01-01,N,"Feb 12, 1912 - Dec 30, 1916",N,,Daily,,,,12-Feb-12,12/02/1912,,30-Dec-16,30/12/1916,
22,"The Radio Telegraph Bulletin: Of the Canadian Radio Division, No. 65 (1925)","Radio Telegraph Bulletin: Of the Canadian Radio Division, No. 65 (1925)",,HD8102 .S92,14,Y,,,CA,BC,Vancouver,HIL-MIC,Nov 1925 - Apr 1927; May 1928 - July 1928,1925-11-01,1927-04-30,Y,Nov 1925 - Apr 1927; Mar - July 1928,N,"Supplement to Communication Worker (Vancouver, British Columbia) from Feb. 1926 onward.",,"Filmed with Communication Worker (Vancouver, British Columbia).|Publication suspended from Apr. 1927 - Mar. 1928.|Last newspaper on the reel.|Many pages are out of order.",,,Nov-25,01/11/1925,30/11/1925,Apr-27,01/04/1927,30/04/1927
23,The People,People,,HD8102 .L66,23,N,1713-3165,,CA,BC,Vancouver,HIL-MIC,"Jan 7, 1943 - Sept 30, 1944",1943-01-07,1944-09-30,N,"Oct 13, 1942 - Oct 28, 1944",N,Variant title: People. ,Weekly,Last newspaper on the reel.,,,13-Oct-42,13/10/1942,,28-Oct-44,28/10/1944,
24,Plain Speaker and Public Opinion,Plain Speaker and Public Opinion,,HD8101 .L66,24,N,,,CA,BC,Vancouver,HIL-MIC,"Aug 23, 1918 - Oct 15, 1918",1918-08-23,1918-10-15,N,"Aug 23, 1918 - Oct 15, 1918",N,,,Tenth newspaper on the reel. ,,,23-Aug-18,23/08/1918,,15-Oct-18,15/10/1918,
25,Voice of the Fisherman,Voice of the Fisherman,,HD8101 .T74,25,N,,,CA,BC,Vancouver,HIL-MIC,"Mar 1934 - Feb 25, 1935",1934-03-01,1935-02-25,N,"Mar 1934 - Feb 25, 1935",N,Variant title: Voice of the Fisherman.,Monthly,Fourth newspaper on the reel.,,,Mar-34,01/03/1934,31/03/1934,25-Feb-35,25/02/1935,
26,Machinist Bulletin,Machinist Bulletin,,HD8102 .M31,26,N,,,CA,MB,Winnipeg,HIL-MIC,Aug 1924 - May 1928,1924-08-01,1928-05-01,N,Aug 1924 - May 1928,N,,,v.1 no.1 - v.3 no.4|First on reel.,,,Aug-24,01/08/1924,31/08/1924,May-28,01/05/1928,31/05/1928
27,Ships News,Ships News,,HD8101 .S56,27,N,,,CA,BC,Vancouver,HIL-MIC,"Sept 9, 1936 - Sept 24, 1936; Apr 17, 1939 - Oct 27, 1939",1936-09-09,1939-10-27,Y,"Sept 9, 1936 - Oct 27, 1939",N,,,First newspaper on the reel.,,,09-Sep-36,09/09/1936,,27-Oct-39,27/10/1939,
28,"Sun (Vancouver, British Columbia)","Sun (Vancouver, British Columbia)",Vancouver Sun,,37,N,0828-1793,,CA,BC,Vancouver,HIL-MIC,"Apr 11, 1983 - Mar 4, 1986",1983-04-11,1986-03-04,N,"Apr 11, 1983 - Mar 4, 1986",N,,Daily,,,,11-Apr-83,11/04/1983,,04-Mar-86,04/03/1986,
29,Unemployed Worker,Unemployed Worker,,HD8101 .S56,29,N,0706-0343,,CA,BC,Vancouver,HIL-MIC,"[Feb 7, 1931 - June 17, 1932]",1931-02-07,1932-06-17,Y,"1929 - Oct 24, 1934",N,,,Years do not appear on the first few issues.|Last newspaper on the reel. ,,,1929,01/01/1929,31/12/1939,24-Oct-34,24/10/1934,
30,Vancouver Daily Sun,Vancouver Daily Sun,Vancouver Sun,,37,N,0839-4792,,CA,BC,Vancouver,HIL-MIC,"Jan 2, 1917 - Apr 18, 1920",1917-01-02,1920-04-18,N,"Jan 2, 1917 - Apr 18, 1920",N,,Daily,"The Vancouver Sunday Sun, the Sunday edition of the Vancouver Daily Sun and the Vancouver Sun (1920) is filmed along with this title. ",,,02-Jan-17,02/01/1917,,18-Apr-20,18/04/1920,
31,Vancouver Evening Sun,Vancouver Evening Sun,Vancouver Sun,,37,N,0839-4830,,CA,BC,Vancouver,HIL-MIC,"Apr 1, 1924 - Sept 30, 1927",1924-04-01,1927-09-30,N,"Apr 1, 1924 - Sept 30, 1927",N,,Daily,,,,01-Apr-24,01/04/1924,,30-Sep-27,30/09/1927,
32,Vancouver Express (1970),Vancouver Express (1970),Vancouver Sun,,37,Y,0227-3772,,CA,BC,Vancouver,HIL-MIC,"Feb 21, 1970 - May 12, 1970",1970-02-21,1970-05-12,N,"Feb 21, 1970 - May 12, 1970",N,Replaces the Vancouver Sun during labour disputes. ,Tri-weekly,,,,21-Feb-70,21/02/1970,,12-May-70,12/05/1970,
33,Vancouver Sun (1927),Vancouver Sun (1927),Vancouver Sun,,37,N,,,CA,BC,Vancouver,HIL-MIC,"Oct 1, 1927 - Jan 16, 1959",1927-10-01,1959-01-16,N,"Oct 1, 1927 - Jan 16, 1959",N,"Replaced by the Vancouver Express (Vancouver, BC) during labour disputes (Feb. 21, 1970 - May 12, 1970; Nov.3, 1978 - Jun. 22, 1979).",Daily,,,,01-Oct-27,01/10/1927,,16-Jan-59,16/01/1959,
34,Vancouver Sun (1920),Vancouver Sun (1920),Vancouver Sun,,37,N,0839-4806,,CA,BC,Vancouver,HIL-MIC,"Apr 19, 1920 - Mar 31, 1924",1920-04-19,1924-03-31,N,"Apr 19, 1920 - Mar 31, 1924",N,,Daily,"The Vancouver Sunday Sun, the Sunday edition of the Vancouver Daily Sun and the Vancouver Sun (1920) is filmed along with this title. ",,,19-Apr-20,19/04/1920,,31-Mar-24,31/03/1924,
35,Vancouver Sunday Sun,Vancouver Sunday Sun,Vancouver Sun,,37,Y,,,CA,BC,Vancouver,HIL-MIC,"Sept 21, 1919 - Mar 30, 1924",1919-09-21,1924-03-30,N,"Sept 21, 1919 - Mar 30, 1924",N,"Sunday edition of the Vancouver Daily Sun and the Vancouver Sun (Vancouver, British Columbia).",Weekly,,,,21-Sep-19,21/09/1919,,30-Mar-24,30/03/1924,
36,Vancouver Express (1978),Vancouver Express (1978),Vancouver Sun,,37,Y,0227-3772,,CA,BC,Vancouver,HIL-MIC,"Nov 3, 1978 - June 22, 1979",1978-11-03,1979-06-22,N,"Nov 3, 1978 - June 22, 1979",N,Replaces the Vancouver Sun during labour disputes. ,,,,,03-Nov-78,03/11/1978,,22-Jun-79,22/06/1979,
37,Vancouver Sun (1986),Vancouver Sun (1986),Vancouver Sun,,37,N,0832-1299,,CA,BC,Vancouver,HIL-MIC,"Mar 5, 1986 - Dec 31, 2009 ",1986-03-05,2009-12-31,N,"Mar 5, 1986 - Current",N,,Daily,,,,05-Mar-86,05/03/1986,,Present,,
38,Waterfront Organizer,Waterfront Organizer,,HD8101 .T74,38,N,1713-2983,,CA,BC,Vancouver,HIL-MIC,"May 1, 1937 - Oct 23, 1937",1937-05-01,1937-10-23,N,"May 1, 1937 - Oct 23, 1937",N,,,Fifth newspaper on the reel.,,,01-May-37,01/05/1937,,23-Oct-37,23/10/1937,
39,"Western Clarion (Vancouver, British Columbia : 1903)","Western Clarion (Vancouver, British Columbia : 1903)",,HD8101 .W47,47,N,,,CA,BC,Vancouver,HIL-MIC,"May, June 1903; June 18, Aug 13, 1904; Feb 5, 1905; Apr 1, 1905 - Dec 21, 1918",1903-05-01,1918-12-21,Y,"May 7, 1903 - Dec 21, 1918",N,Continued by Red Flag and Indicator (not in our collection). The title returns to the Western Clarion again in 1920 in Calgary.,Weekly,Reels are not entirely in chronological order.,,,07-May-03,07/05/1903,,21-Dec-18,21/12/1918,
40,Western Socialist,Western Socialist,,HD8101 .W47,47,N,,,CA,BC,Vancouver,HIL-MIC,"Apr 10, 1903 - May 1, 1903",1903-04-10,1903-05-01,N,"1898 - May 1, 1903",N,,Weekly,,,,1898,01/01/1898,31/12/1898,01-May-03,01/05/1903,
41,"Worker (Vancouver, British Columbia)","Worker (Vancouver, British Columbia)",,HD8101 .C33,41,N,,,CA,BC,Vancouver,HIL-MIC,"Sept 19, 1919 - Oct 30, 1919",1919-09-19,1919-10-30,N,"Sept 19, 1919 - Oct 30, 1919",N,,,,,,19-Sep-19,19/09/1919,,30-Oct-19,30/10/1919,
42,"British Colonist (Victoria, British Columbia)","British Colonist (Victoria, British Columbia)",British Colonist (Victoria),,45,N,0839-4229,,CA,BC,Victoria,HIL-MIC,"Dec 11, 1858 - July 28, 1860",1858-12-11,1860-07-28,N,"Dec 11, 1858 - July 28, 1860",N,,Weekly,,,,"Dec 11, 1858 ",11/12/1858,,"July 28, 1860",28/07/1860,
43,"Confederate (Brandon, Manitoba)","Confederate (Brandon, Manitoba)",,HD8101 .C33 (Jan. 1919 - Feb. 1919); HD8102 .C61 (Mar. 1919 - Dec. 1920) ,43,N,,,CA,MB,Brandon,HIL-MIC,"Jan 9, 1919 - Dec 31, 1920",1919-01-09,1920-12-31,N,"Jan 9, 1919 - Dec 31, 1920",N,,Weekly,,,,09-Jan-19,09/01/1919,,31-Dec-20,31/12/1920,
44,Daily British Colonist,Daily British Colonist,British Colonist (Victoria),,45,N,0839-4237,,CA,BC,Victoria,HIL-MIC,"July 31, 1860 - June 23, 1866",1860-07-31,1866-06-23,N,"July 31, 1860 - June 23, 1866",N,,Daily,Reel 14 contains missing issues from the Daily British Colonist. ,,,"July 31, 1860 ",31/07/1860,,"June 23, 1866",23/06/1866,
45,Daily British Colonist and Victoria Chronicle,Daily British Colonist and Victoria Chronicle,British Colonist (Victoria),,45,N,0839-4245,,CA,BC,Victoria,HIL-MIC,"June 25, 1866 - Dec 31, 1871",1866-06-25,1871-12-31,N,"June 25, 1866 - Aug 6, 1872",N,,Daily,,,,"June 25, 1866 ",25/06/1866,,"Aug 6, 1872",06/08/1872,
46,Labor Review,Labor Review,,HD8102 .C61,46,N,1714-4442,,CA,BC,Victoria,HIL-MIC,"Apr 1, 1932 - Sept 1, 1932",1932-04-01,1932-09-01,N,"Apr 1, 1932 - Sept 1, 1932",N,,,Ninth newspaper on the reel.,,,01-Apr-32,01/04/1932,,01-Sep-32,01/09/1932,
47,"Western Clarion (Calgary, Alberta : 1920)","Western Clarion (Calgary, Alberta : 1920)",,HD8101 .W47,47,N,1709-7568,,CA,AB,Calgary,HIL-MIC,"Mar 16, 1920 - Aug 1925",1920-03-16,1925-08-01,N,"Jan 10, 1920 - Aug 1925",N,"Continues the Red Flag and Indicator (not in our collection). Published as the Western Clarion (Vancouver, British Columbia : 1903) before it was called the Red Flag and Indicator. ",,Reels are not entirely in chronological order.,,,10-Jan-20,10/01/1920,,Aug-25,01/08/1925,31/08/1925
48,Brandon Daily Mail,Brandon Daily Mail,Brandon Mail,,49,N,,,CA,MB,Brandon,HIL-MIC,"[Dec 19, 1882 - Sept 22, 1883]",1882-12-19,1883-09-22,Y,"Dec 19, 1882 - Sept 22, 1883",N,,Daily,,,,"Dec 19, 1882 ",19/12/1882,,"Sept 22, 1883",22/09/1883,
49,Brandon Mail,Brandon Mail,Brandon Mail,,49,N,,,CA,MB,Brandon,HIL-MIC,"[Sept 27, 1883 - May 6, 1897]",1883-09-27,1897-05-06,Y,"Sept 27, 1883 - May 6, 1897",N,,Weekly,,,,"Sept 27, 1883 ",27/09/1883,,"May 6, 1897",06/05/1897,
50,Daily Free Press,Daily Free Press,Winnipeg Free Press,,56,N,0837-3558,,CA,MB,Winnipeg,HIL-MIC,"July 6, 1874 - Apr 7, 1876 ",1874-07-06,1876-04-07,N,"July 6, 1874 - Apr 7, 1876 ",N,,Daily,,,,"July 6, 1874 ",06/07/1874,,"Apr 7, 1876",07/04/1876,
51,Manitoba Daily Free Press (1876),Manitoba Daily Free Press (1876),Winnipeg Free Press,,56,N,0837-3566,,CA,MB,Winnipeg,HIL-MIC,"Apr 8, 1876 - May 1, 1882",1876-04-08,1882-05-01,N,"Apr 8, 1876 - May 1, 1882",N,,Daily,,,,"Apr 8, 1876 ",08/04/1876,,"May 1, 1882",01/05/1882,
52,Manitoba Free Press (1882),Manitoba Free Press (1882),Winnipeg Free Press,,56,N,0837-3574,,CA,MB,Winnipeg,HIL-MIC,"May 2, 1882 - Oct 18, 1882",1882-05-02,1882-10-18,N,"May 2, 1882 - Oct 18, 1882",N,,Daily,,,,"May 2, 1882 ",02/05/1882,,"Oct 18, 1882",18/10/1882,
53,Manitoba Daily Free Press (1882),Manitoba Daily Free Press (1882),Winnipeg Free Press,,56,N,0837-3582,,CA,MB,Winnipeg,HIL-MIC,"Oct 19, 1882 - June 3, 1893",1882-10-19,1893-06-03,N,"Oct 19, 1882 - June 3, 1893",N,,Daily,,,,"Oct 19, 1882 ",19/10/1882,,"June 3, 1893",03/06/1893,
54,Manitoba Morning Free Press,Manitoba Morning Free Press,Winnipeg Free Press,,56,N,0837-3590,,CA,MB,Winnipeg,HIL-MIC,"June 5, 1893 - Jan 26, 1915",1893-06-05,1915-01-26,N,"June 5, 1893 - Jan 26, 1915",N,,Daily,,,,"June 5, 1893 ",05/06/1893,,26-Jan-15,26/01/1915,
55,Manitoba Free Press (1915),Manitoba Free Press (1915),Winnipeg Free Press,,56,N,0837-3604,,CA,MB,Winnipeg,HIL-MIC,"Jan 27, 1915 - Dec 1, 1931",1915-01-27,1931-12-01,N,"Jan 27, 1915 - Dec 1, 1931",N,,Daily,,,,27-Jan-15,27/01/1915,,01-Dec-31,01/12/1931,
56,Winnipeg Free Press,Winnipeg Free Press,Winnipeg Free Press,,56,N,0828-1785,,CA,MB,Winnipeg,HIL-MIC,"Jan 1932 - Dec 31, 2009",1932-01-01,2009-12-31,N,"Dec 2, 1931 - Current",N,,Daily,,,,02-Dec-31,02/12/1931,,Present,,
57,Bulletin,Bulletin,,HD8101 .I57a,57,N,,,CA,MB,Winnipeg,HIL-MIC,[July 1913 - Apr 1924],1913-07-01,1924-04-01,Y,Sept 1912 - 1924 ,N,,,,,,Sep-12,01/09/1912,30/09/1912,1924,01/01/1924,12/07/1926
58,The Manitoba Gazette,Manitoba Gazette,,L14 DWG,58,N,0706-3350,,CA,MB,Winnipeg,HIL-GOV,"June 26, 1871 - Dec 29, 1900",1871-06-26,1900-12-29,N,1871 - ?,N,,Weekly,Published in both English and French.,,,1871,01/01/1871,31/12/1871,?,,
59,Eastern Labor News,Eastern Labor News,,HD8102 .E3,59,N,,,CA,NB,Moncton,HIL-MIC,"Feb 6, 1909 - Nov 15, 1913",1909-02-06,1913-11-15,N,"Feb 6, 1909 - Nov 15, 1913",N,,Weekly,,,,06-Feb-09,06/02/1909,,15-Nov-13,15/11/1913,
60,Nor' Wester,Nor' Wester,Nor' Wester,,62,N,,,CA,MB,Winnipeg,HIL-MIC,"[Dec 28, 1859 - July 28, 1868]",1859-12-28,1868-07-28,Y,"Aug 22, 1859 - July 28, 1868",N,,,,,,"Aug 22, 1859 ",22/08/1859,,"July 28, 1868",28/07/1868,
61,Nor' Wester and Central British-American Advertiser,Nor' Wester and Central British-American Advertiser,Nor' Wester,,62,N,,,CA,MB,Winnipeg,HIL-MIC,"[Aug 4, 1868 - Sept 28, 1869]",1868-08-04,1869-09-28,Y,"Aug 4, 1868 - Sept 28, 1869",N,,,,,,"Aug 4, 1868 ",04/08/1868,,"Sept 28, 1869",28/09/1869,
62,Nor' Wester and Pioneer,Nor' Wester and Pioneer,Nor' Wester,,62,N,,,CA,MB,Winnipeg,HIL-MIC,"[Oct 26, 1869 - Nov 23, 1869]",1869-10-26,1869-11-23,Y,"Oct 26, 1869 - Nov 23, 1869",N,,,,,,"Oct 26, 1869 ",26/10/1869,,"Nov 23, 1869",23/11/1869,
63,"Labor Leader (Winnipeg, Manitoba)","Labor Leader (Winnipeg, Manitoba)",,HD8102 .C61 ,65,N,1714-4582,,CA,MB,Winnipeg,HIL-MIC,"Apr 4, 1935 - May 30, 1935",1935-04-04,1935-05-30,N,"Apr 4, 1935 - May 30, 1935",N,,,,,,04-Apr-35,04/04/1935,,30-May-35,30/05/1935,
64,One Big Union Bulletin,One Big Union Bulletin,,HD8102 .M31 ,65,N,,,CA,MB,Winnipeg,HIL-MIC,"Aug 12, 1919 - May 24, 1934",1919-08-12,1934-05-24,N,"Aug 12, 1919 - 1934",N,,Weekly,v.1-15,,,12-Aug-19,12/08/1919,,1934,01/01/1934,12/07/1936
65,One Big Union Monthly,One Big Union Monthly,,HD8102 .M31 ,65,N,,,CA,MB,Winnipeg,HIL-MIC,Dec 1937 - Oct 1938 ,1937-12-01,1938-10-01,N,Jan 1927 - June 1938,N,,Monthly,,,,Jan-27,01/01/1927,31/01/1927,Jun-38,01/06/1938,30/06/1938
66,Voice,Voice,,HD8101 .P46 reel 1-9,67,N,,,CA,MB,Winnipeg,HIL-MIC,"May 8, 1897 - July 26, 1918",1897-05-08,1918-07-26,N,"May 8, 1897 - July 26, 1918",N,,Weekly,,,,"May 8, 1897 ",08/05/1897,,26-Jul-18,26/07/1918,
67,Western Labor News,Western Labor News,,"HD8101 .W47 reel 4 (Aug. 2, 1918-Jun. 18, 1920); HD8101 .P46 r.10 (Jun. 25, 1920 - Apr. 13, 1923)",67,N,,,CA,MB,Winnipeg,HIL-MIC,"Aug 2, 1918 - Apr 13, 1923 ",1918-08-02,1923-04-13,N,"Aug 2, 1918 - Apr 13, 1923",N,,Weekly,,,,02-Aug-18,02/08/1918,,13-Apr-23,13/04/1923,
68,Winnipeg Citizen,Winnipeg Citizen,,HD8101 .T74,68,N,1194-8124,,CA,MB,Winnipeg,HIL-MIC,"May 19 - June 20, 1919",1919-05-19,1919-06-20,N,"May 19, 1919 - June 20, 1919",N,,,Seventh on reel. ,,,19-May-19,19/05/1919,,20-Jun-19,20/06/1919,
69,Winnipeg Stitcher,Winnipeg Stitcher,,HD8101 .T74,69,N,1713-2991,,CA,MB,Winnipeg,HIL-MIC,Oct 1939 - Dec 1939,1939-10-01,1939-12-01,N,,N,,,Sixth on reel. ,,,,,,,,
70,Winnipeg Typo News,Winnipeg Typo News,,HD8101 .T74,70,N,,,CA,MB,Winnipeg,HIL-MIC,"Apr 17 - Nov 15, 1935",1935-04-17,1935-11-15,N,"Apr 17 1935 - Nov 15, 1935",N,,,Eighth on reel. ,,,Apr 17 1935 ,17/04/1935,,15-Nov-35,15/11/1935,
71,Bathurst Tribune,Bathurst Tribune,Bathurst Tribune,,76,N,0841-7784,,CA,NB,Bathurst,HIL-MIC,"Sept 14, 1971 - Apr 25, 1973",1971-09-14,1973-04-25,N,"June 15, 1971 - Apr 25, 1973",N,,Weekly,"French language supplement Tribune Chaleur is filmed as well from Jul. 26, 1972 - Feb. 12, 1975. ",,,15-Jun-71,15/06/1971,,25-Apr-73,25/04/1973,
72,L'Aviron,Aviron,L' Aviron,,72,N,1484-5407,,CA,NB,Campbellton,HIL-MIC,"Apr 12, 1962 - Sept 29, 1982",1962-04-12,1982-09-29,N,"Apr 12, 1962 - Current",N,,Weekly,French language newspaper.,,,12-Apr-62,12/04/1962,,Present,,
73,"Tribune (Campbellton, New Brunswick : 1963)","Tribune (Campbellton, New Brunswick : 1963)",Tribune,,82,N,0841-8632,,CA,NB,Campbellton,HIL-MIC,"Nov 20, 1963 - Jan 8, 1986",1963-11-20,1986-01-08,N,"Nov 20, 1963 - Jan 8, 1986",N,,Weekly,,,,20-Nov-63,20/11/1963,,08-Jan-86,08/01/1986,
74,Gloucester Northern Light,Gloucester Northern Light,Northern Light,,75,N,0842-0769,,CA,NB,Bathurst,HIL-MIC,"Dec 17, 1913 - May 24, 1951",1913-12-17,1951-05-24,N,"Dec 17, 1913 - May 24, 1951",N,,Weekly,,,,17-Dec-13,17/12/1913,,24-May-51,24/05/1951,
75,Northern Light,Northern Light,Northern Light,,75,N,0839-3389,,CA,NB,Bathurst,HIL-MIC,"May 31, 1951 - Dec 30, 2008",1951-05-31,2008-12-30,N,"May 31, 1951 - Current",N,,Weekly,,,,31-May-51,31/05/1951,,Present,,
