"ID","Title","Place","Interval","Start Day","Start Month","Start Year","End Day","End Month","End Year","Dates Questionable","continuesFrom","continuedBy","mergedWith","toForm","absorbedBy","Harper #","Note"
359,"Centennial Souvenir","Saint John","unknown",2,10,1883,,,,,,,,,,226,"Souvenir newspaper printed on a press in a typographers' union float during the parade marking the Centennial of the Loyalist landing is Saint John."
71,"Chaleur Zephyr","Dalhousie","unknown",,,,,,,,,,,,,42,"Seems to have been part of ""Icicle""  (Dalhousie)."
360,"Challenger","Saint John","monthly",,6,1936,,,,,,"Mount Pleasant Monthly News",,,,,
361,"Champion and Defender of Truth","Saint John","weekly",,9,1849,,,,"Yes",,,,,,227,
646,"Charlotte Advocate","St. Stephen","weekly",,,1860,,,1865,"Yes","Provincial Patriot and St. Stephen's Banner",,,,,425,
647,"Charlotte Free Press","St. Stephen","unknown",,,1860,,,,,,,,,,426,
623,"Charlotte Gazette","St. Andrews","weekly",,6,1846,6,12,1856,"Yes",,,,,,191,
197,"Chat","Hartland","weekly",,,1905,,,1909,"Yes",,,,,,117,
37,"Chatair","Chatham","irregular",,,1951,,,1967,,,,,,,,
362,"Christian Reporter and Temperance Advocate","Saint John","weekly",,,1833,17,11,1841,,,,,,,23,
363,"Christian Standard","Saint John","monthly",7,9,1876,,6,1877,"Yes",,,,,,231,
366,"Christmas Chimes","Saint John","unknown",,,1882,,,1883,,,,,,,234,
367,"Church Witness","Saint John","weekly",25,9,1850,,2,1868,,,,,"Church Witness and Monitor",,237,"See also ""New Brunswick Churchman"", Fredericton"
368,"Church Witness and Monitor","Saint John","weekly",,2,1868,,,1870,,,,,,,,"Formed by merger of: ""Church Witness"" and ""Church Monitor and Evangelical Record""."
372,"City Gazette and Advertiser","Saint John","unknown",,,1841,,,,"Yes",,,,,,239,
375,"Colonial Advocate","Saint John","weekly",26,5,1845,,,1849,,,,,,,242,"Subtitle   ""The Farmer, Manufacturer, Mechanic and Fisherman's Journal""."
207,"Colonial Express","Hillsboro","unknown",,9,1863,,,,,,,,,,124,
377,"Colonial Monitor","Saint John","weekly",,3,1865,,,1866,"Yes",,,,,,244,
379,"Colonial Watchman and Productive Classes' Advocate","Saint John","weekly",,,1848,,,1851,,,,,,,246,
381,"Commercial Times","Saint John","2/weekly",,,1847,,,1848,"Yes",,,,,,247,
382,"Conservative","Saint John","unknown",,,1837,,,,,,,,,,248,
220,"Contact Nazareth","Moncton","2/yearly",14,2,1990,,,,,,,,,,,
383,"Cricketer","Saint John","daily",1,3,1886,4,3,1886,,,,,,,,"Published for the International Exhibition in Saint John"
112,"Cropley's Celestial Spectator","Fredericton","weekly",,,1880,,,,,,,,,,68,
330,"Cumberland Leader","Sackville","unknown",,,1888,,,,"Yes",,,,,,174,
114,"Daily Herald","Fredericton","daily",24,5,1882,7,9,1909,"Yes","Fredericton Evening Herald","Fredericton Daily Herald",,,,8,
388,"Daily Mail (Saint John, New Brunswick: 1934)","Saint John","daily",,8,1934,,5,1939,,,,,,,293,
391,"Daily Record","Saint John","daily",14,11,1893,24,8,1899,,,,,,,347,
396,"Daily Tribune","Saint John","daily",21,12,1871,29,5,1875,,,,,,,42,"See also ""Weekly Tribune"""
72,"Dalhousie News","Dalhousie","weekly",27,11,1929,,9,1994,,,,,,"The Tribune",14,
650,"Dollar Stretcher","St. Stephen","weekly",4,2,1985,,,,,,,,,,,
77,"Dorchester Patriot","Dorchester","weekly",,,1909,,,,"Yes",,,,,,45,
397,"Earwig","Saint John","unknown",,,1875,,,,,,,,,,25,
208,"Eastern Advocate","Hillsboro","weekly",,10,1863,,,1868,"Yes",,,,,,125,
398,"Eastern Echo","Saint John","unknown",,,1976,,,,,,,,,,,
399,"Echo: Community News","Saint John","monthly",,4,1977,,10,1977,,,"Echo: The Saint John Community Monthly",,,,,
400,"Echo: The Saint John Community Monthly","Saint John","monthly",,3,1978,,4,1978,,"Echo: Community News","Echo: The Saint John Community News",,,,,
401,"Echo: The Saint John Community News","Saint John","varies",,5,1978,7,12,1979,,"Echo: The Saint John Community Monthly",,,,,,
80,"Edmundston Observer","Edmundston","weekly",17,3,1922,,,1925,"Yes",,,,,"Carleton Observer",49,
88,"Eel Ground Times","Eel Ground","unknown",,4,1869,,,,"Yes",,,,,,156,
402,"Electric Era","Saint John","unknown",27,7,1889,29,7,1889,,,,,,,252,"Published at the Electric Exhibition, Saint John covering news of the event."
403,"Emigrant","Saint John","weekly",,1,1838,,,,,,,,,,253,
613,"Ensemble","Saint Joseph","irregular",15,10,1960,19,2,1966,,,,,,,,
651,"Enterprise","St. Stephen","unknown",30,9,1885,,,,,,,,,,427,
116,"Equal Times","Fredericton","monthly",,4,1975,,,1976,"Yes",,,,,,,"New Brunswick's first women's newspaper."
404,"Equinox","Saint John","irregular",10,10,1967,,4,1981,,"Quidnunc","The Viewpoint",,,,,"Sub-title: UNBSJ Student Publication.\nSuspended publications 1972 Dec - 1977 Sept"
331,"Eurhetorian Argosy","Sackville","monthly",,1,1875,,,,,,"The Argosy",,,,17,
406,"Evangelical Expositor","Saint John","weekly",,7,1851,,,,,,,,,,254,
409,"Evening Herald ","Saint John","weekly",,10,1858,,,,,,,,,,27,
410,"Evening Standard (1864)","Saint John","2/weekly",,,1864,,,,,,,,,,376,
413,"Evening Times and Star (1910)","Saint John","weekly",,4,1910,15,1,1923,,"The Evening Times","Evening Times Star",,,,396,
415,"Evening Times Star (1923)","Saint John","daily",,9,1923,15,1,1927,,,,"Saint John Globe","Evening Times-Globe",,396,
416,"Evening Tribune","Saint John","daily",,,,,,,,,,,,,42,
616,"Express du sud est","Shediac","weekly",10,6,1987,25,4,1990,,,,,,,,
417,"Family Free Mail","Saint John","weekly",,,1936,,,1940,,,,,,,256,
624,"Family Gazette and Charlotte County Advertiser","St. Andrews","unknown",,,1885,,,,"Yes",,,,,,192,
418,"Farmer","Saint John","unknown",,,1858,,,,,,,,,,257,
118,"Fat City","Fredericton","monthly",,6,1980,,7,1980,,"Fredericton Music Flashback",,,,,,
229,"FEUM Information","Moncton","unknown",21,9,1972,22,11,1973,,"La Mèche","La Jaunisse",,,,,"Student newspaper of the Université de Moncton"
119,"Food Shopper's Guide","Fredericton","2/weekly",30,5,1974,,,,"Yes",,,,,,,
419,"Footlight Flashes","Saint John","unknown",,,1876,,,1877,,,,,,,,
121,"Fredericton Daily Herald","Fredericton","daily",11,10,1895,12,6,1897,,"Daily Herald","Daily Herald",,,,8,
123,"Fredericton Evening Herald","Fredericton","3/weekly",,12,1881,19,5,1882,"Yes",,"Daily Herald",,,,8,
124,"Fredericton Farmer","Fredericton","weekly",1,5,1889,12,5,1905,,"The Maritime Farmer",,,,,88,
126,"Fredericton Music Flashback","Fredericton","unknown",,5,1980,,,,"Yes",,"Fat City",,,,,
128,"Fredericton Trade Reviews","Fredericton","unknown",,,1887,,,,,,,,,,,
420,"Free Press","Saint John","varies",23,10,1936,,,,,,,,,,258,
230,"Free Speech (Moncton, New Brunswick: 1907)","Moncton","weekly",11,7,1907,,,1909,"Yes",,,,,,,
422,"Fundaze Weekly Foghorn","Saint John","unknown",3,8,1966,,,,,,,,,,,
297,"Gazette","Oromocto","weekly",26,4,1972,,,,,"Gagetown Gazette",,,,,,
425,"Gem","Saint John","weekly",31,5,1879,,,1886,"Yes",,,,,,264,
426,"Glad Tidings","Saint John","unknown",,,1887,,,,"Yes",,,,,,,
176,"Gladstone Guardian","Fredericton Junction","monthly",,,1903,,,,"Yes",,,,,,,
186,"Grand Falls Free Press","Grand Falls (Grand Sault)","weekly",4,1,1962,30,8,1962,,,,,,,,
23,"Graphic","Campbellton","daily",,,1907,,,1909,"Yes",,,"Events","The Campbellton Graphic",,15,"Known briefly as ""The Morning Graphic""."
427,"H.S.P.C. Jubilee Souvenir","Saint John","unknown",21,6,1887,,,,,,,,,,281,
192,"Hampton Herald","Hampton","biweekly",6,5,1982,,,,,,,,,,,
202,"Harvey Lionews","Harvey","monthly",,3,1971,,5,1974,"Yes",,,,,,,
31,"Hebdo péninsule","Caraquet","weekly",12,9,1990,17,4,1991,,,,,,,,
234,"Hebdo-Campus","Moncton","unknown",,9,1984,,,,,"Campus",,,,,,
51,"Herald (Chatham, New Brunswick: 1896)","Chatham","unknown",,2,1896,12,6,,"Yes",,,,,,26,
135,"Herald (Fredericton, New Brunswick: 1855)","Fredericton","3/weekly",31,10,1865,,,1865,"Yes",,,,,,,
428,"Herald (Saint John, New Brunswick: 1838)","Saint John","weekly",,12,1838,,,1841,"Yes",,"Saint John Herald",,,,268,
431,"Hibernian Oracle or Ireland's Eye","Saint John","weekly",,,1842,,,,,,,,,,271,
432,"Holiday Advertiser","Saint John","unknown",,11,1880,,,,"Yes",,,,,,273,
433,"Home Journal","Saint John","weekly",,2,1865,,,,,"The Provincial Home Journal Devoted to the Cause of Temperance and General Literature",,,,,341,
434,"Home Mission Journal","Saint John","2/monthly",,,1899,,,,,,,,,,,
73,"Icicle","Dalhousie","unknown",,,1886,,,,"Yes",,,,,,42,
314,"Info - Affaires","Richibucto","unknown",27,2,1989,,,,,,,,,,,
235,"Info-Mag","Moncton","monthly",,3,1988,,5,1991,,,,,,,,
236,"Informaton","Moncton","unknown",,12,1976,,,,,,,,,,,
675,"Informatous","Val d'Amours","monthly",,8,1992,,8,1993,,,,,,,,
436,"Intercolonial Journal of Commerce","Saint John","weekly",30,8,1866,,,,,,,,,,,"Circulated in Canada, Nova Scotia, New Brunswick, Prince Edward Island and the West Indies."
439,"Irishman","Saint John","weekly",,,1836,,,1838,"Yes",,,,,,278,
291,"Island News","North Head, Grand Manan","weekly",13,5,1881,,,1884,,,,,,,113,
292,"Island Press","North Head, Grand Manan","weekly",22,11,1883,,,1887,,,,,,,114,
664,"Journal du plein air","Sugar Island","unknown",,,1985,,,,,,,,,,,
239,"Journal Etudiant","Moncton","unknown",8,9,1980,,,,,"Le Medium","Le Front",,,,,"Student newspaper of the Université de Moncton"
441,"Kennebecasis Valley Times","Saint John","weekly",11,4,1989,,,,,,,,,,,"Published by: ""Saint John Times Globe"" as a Tuesday supplement.\nFilmed with ""Telegraph-Journal""."
442,"Kermess","Saint John","daily",,10,1886,,,,,,,,,,283,"Published daily during German Fair Week."
281,"Keswick Exchange","Mouth of Keswick","monthly",,5,1981,,,,,,,,,,,
136,"Kings Highway (Fredericton, New Brunswick: 1910)","Fredericton","2/monthly",,,1910,,,1918,"Yes","Kings Highway",,,,,452,
443,"Kings Highway (Saint John, New Brunswick: 1890)","Saint John","varies",,,1890,,,1893,"Yes",,"Kings Highway",,,,452,
680,"Kings Highway (Woodstock, New Brunswick: 1894)","Woodstock","2/monthly",,,1894,,,1910,"Yes","Kings Highway","Kings Highway",,,,452,
30,"L'Acadien (1868)","Caraquet","unknown",27,11,1868,10,9,,"Yes",,,,,,,
4,"L'Acayen","Bathurst","irregular",,,1972,,,1976,,,,,,,,
181,"L'Action Régionale","Grand Falls (Grand Sault)","weekly",22,5,1991,22,8,1995,,,,,,,,
95,"L'Activité française","Fredericton","monthly",,6,1968,,,1969,,,,,,,,
21,"L'Echo de Campbellton","Campbellton","monthly",,5,1921,,5,1928,"Yes",,,,,,,
7,"L'Echo du Sacré-Coeur","Bathurst","monthly",,12,1935,26,9,1969,,,,,,,,
81,"L'Eglise d'Edmundston, journal diocésain","Edmundston","monthly",,11,1973,,6,1979,,,,,,,,
225,"L'Embryon","Moncton","unknown",,12,1970,,1,1971,,"Le Point","La Mèche",,,,,"Student newspaper of the Université de Moncton"
307,"L'Etoile","Petit-Rocher","2/monthly",23,2,1984,23,12,1985,,,,,,,,
405,"L'Etoile du Nord","Saint John","weekly",6,1,1879,,,,,,,,,,,
32,"L'indice économique","Caraquet","monthly",29,3,1990,31,5,1990,,,,,,,,
237,"L'Insecte","Moncton","monthly",15,12,1967,,12,1968,,"Liaisons","Microbe",,,,,"Student newspaper of the Université de Moncton"
84,"L'Oculus","Edmundston","irregular",,11,1984,,,,,"Le Bouclier",,,,,,
28,"La Boueille","Cap-Pelé","weekly",2,7,1975,27,5,1981,,,,,,,,
185,"La Gazette - The Gazette","Grand Falls (Grand Sault)","unknown",4,6,1980,30,12,1980,,,,,,"The Bugle",,
238,"La Jaunisse","Moncton","unknown",3,12,1973,24,1,1977,,"FEUM Information","Le Front",,,,,"Student newspaper of the Université de Moncton"
283,"La Justice","Newcastle","weekly",12,4,1906,19,9,1907,,,,,,,158,
615,"La Lien: bulletin d¬íinformation de la vallée de Memramcook","Saint Joseph","2/monthly",17,1,1986,,,,,,,,,,,
243,"La Mèche","Moncton","unknown",,3,1972,,12,1972,,"L'Embryon","FEUM Information",,,,,"Student newspaper of the Université de Moncton"
251,"La Moustache","Moncton","irregular",13,2,1969,24,7,1969,,"Microbe","Le Point",,,,,"Student newspaper of the Université de Moncton"
252,"La Nation","Moncton","weekly",7,3,1929,21,8,1930,,,,,,,148,
85,"La République","Edmundston","weekly",30,8,1978,19,10,1982,,,,,,,,
444,"Lancaster Advertiser","Saint John","unknown",1,1,1953,,,,,,,,,,,"This was the only issue published to commemorate the inauguration of the city of Lancaster.\nPublished in Lancaster, New Brunswick, part of Saint John since 1967"
445,"Lancet (Saint John, New Brunswick: 1849)","Saint John","weekly",,8,1849,,,,"Yes",,,,,,285,
681,"Lancet (Woodstock, New Brunswick: 1853)","Woodstock","unknown",,3,1853,,,,"Yes",,,,,,,
79,"Le Bouclier","Edmundston","irregular",,,1957,,,1980,,,"L'Oculus",,,,,
228,"Le Fermier acadien","Moncton","unknown",,,1927,,,1962,,,,,,,,
232,"Le Front","Moncton","unknown",31,1,1977,,,,,"La Jaunisse","Superfront",,,,,"Student newspaper of the Université de Moncton"
233,"Le guide libéral/The Liberal Guide","Moncton","unknown",,,1982,,,,,,,,,,,
440,"Le journal de la marine marchande des Maritimes/The Maritime Shipping Herald and Marine Engineering Journal","Saint John","monthly",,4,1974,,,,,,,,,,,
240,"Le Lien","Moncton","unknown",,11,1946,,4,1964,"Yes",,,,,,,
241,"Le Masqoui","Moncton","unknown",21,11,1979,,,1985,,,"Zélé",,,,,"Published by the French high schools of New Brunswick"
242,"Le Matin","Moncton","daily",11,8,1986,29,6,1988,,,,,,,,
244,"Le Medium","Moncton","unknown",22,10,1979,17,4,1980,,"Superfront","Journal Etudiant",,,,,"Student newspaper of the Université de Moncton"
617,"Le Moniteur","Shediac","weekly",19,3,1986,23,12,1988,,"Le P'tit Moniteur","Le Moniteur Acadien",,,,,
619,"Le P'tit Moniteur","Shediac","weekly",14,6,1984,12,3,1986,,"Le Moniteur Acadien","Le Moniteur",,,,,
210,"Le Pari","Maisonnette","monthly",,5,1969,,10,1970,,,,,,,,"Missing issues of the microfilm: 1969 jl, n"
254,"Le Perroquet","Moncton","monthly",15,9,1992,15,4,1994,,,,,,,,
258,"Le Point (Moncton, New Brunswick: 1970)","Moncton","irregular",4,12,1970,7,9,1970,,"La Moustache","L'Embryon",,,,,"Student newspaper of the Université de Moncton"
11,"Le Point (Saint John, New Brunswick: 1978)","Bathurst","weekly",15,1,1978,10,4,1983,,,,"Le Voilier","Le Voilier/Le Point",,,
263,"Le réveil","Moncton","2/monthly",,5,1936,4,2,1937,,,,,,,,
308,"Le Ven' d' est","Petit-Rocher","2/monthly",,10,1985,,,,,,,,,,,
273,"Le village global/The Global Village","Moncton","weekly",29,6,1988,,,,,,,,,,,"BiCom, a bilingual communications company whose head office is in Moncton."
279,"Le Zap-Ado","Moncton","irregular",,,1995,,,,,,,,,,,
446,"Leader (Saint John, New Brunswick: 1857)","Saint John","varies",,2,1857,,,1859,"Yes",,,,,,286,
614,"Liaisons","Saint Joseph","monthly",10,6,1941,15,11,1967,,"L'Insecte",,,,,,
52,"Liberal Conservative","Chatham","unknown",,,1854,,,,"Yes",,,,,,28,"Only prospectus was published."
449,"Liberator and Irish Advocate","Saint John","weekly",,,1843,,,1845,,,,,,,288,
450,"Loyal Colonist and Tri-weekly Advertiser","Saint John","3/weekly",17,5,1849,,,1849,,,,,,,29,
452,"Loyalist (1952)","Saint John","weekly",26,9,1952,,,1955,,,,,,,292,
455,"Loyalist City Times","Saint John","2/monthly",8,6,1979,14,9,1979,,,,,,,,
332,"Maritime Merchant","Sackville","semi-weekly",,,1893,,,1969,"Yes","Maritime Merchant","Maritime Merchant",,,,178,
199,"Maritime Railway News","Hartland","weekly",24,12,1932,,,,"Yes",,,,,,119,"Sub-title ""A Weekly Newspaper for Railroad Workers"".  Published for 2 years by Charles Allen at the ""Observer"" office."
458,"Maritime Sunday Herald","Saint John","weekly",11,1,1987,22,3,1987,,"New Brunswick Sunday Herald",,,,,,
460,"Methodist","Saint John","weekly",,,1890,,,1892,"Yes",,,,,,32,
245,"Microbe","Moncton","unknown",23,11,1968,12,2,1969,,"L'Insecte","La Moustache",,,,,"Student newspaper of the Université de Moncton"
55,"Miramichi Leader Weekend","Chatham","weekly",8,5,1987,,12,1990,,"Miramichi Weekend","Miramichi Weekend",,,,,
56,"Miramichi Press","Chatham","weekly",,11,1964,22,10,1975,"Yes",,"Miramichi Press Weekly",,,,,
57,"Miramichi Press Weekly","Chatham","weekly",29,10,1975,27,12,1978,,"Miramichi Press","Miramichi Weekend",,,,,
58,"Miramichi Weekend","Chatham","varies",5,1,1979,,,,,"Miramichi Press Weekly","Miramichi Leader Weekend",,,,,"Microfilmed with ""Observer"" and ""Bugle""."
461,"Morning Courier (Saint John, New Brunswick: 1855)","Saint John","3/weekly",,8,1855,,,1856,,,,,,,31,"A tri-weekly edition of ""The New Brunswick Courier""."
463,"Morning Globe","Saint John","3/weekly",,6,1858,,,1859,"Yes",,,,,"British Constitution and Weekly Globe",256,"After the ""Morning Globe""' was absorbed by the ""British Constitution"", at least part of its role seems to have been taken on by the ""Daily Evening Globe"".  All three titles may have been published by the same company."
469,"Morning Post","Saint John","3/weekly",6,7,1863,,,1864,"Yes",,,,,,335,
471,"Morning Times","Saint John","2/weekly",,,1853,,,1854,,"Saint John Morning Times",,,,,393,
472,"Mount Pleasant Monthly News","Saint John","varies",,9,1936,,,,,"Challenger","Mount Pleasant News",,,,,"monthly except July and August v 1,no 2,Sept, 1936"
473,"Mount Pleasant News","Saint John","varies",,10,1936,,,,,,,,,,,"monthly except July and August v 1,no 3,Oct, 1936   ?"
682,"Nackawick Bummer","Woodstock","unknown",,4,1867,,,,,,,,,,,"Reference in Carleton Sentinel April 13, 1867."
145,"New Brunswick Churchman","Fredericton","weekly",,9,1850,,10,1851,,,,,,,89,"Anglican denominational weekly used by the Bishop of Fredericton for official communications.\nSee also ""Church Witness"", Saint John."
476,"New Brunswick Literary Journal","Saint John","weekly",1,2,1840,,,1841,,,,,,,315,
477,"New Brunswick Religious and Literary Journal","Saint John","weekly",1,24,1829,27,2,1830,,,,,,,,
478,"New Brunswick Sunday Herald","Saint John","weekly",13,7,1986,4,1,1987,,"Sunday Herald","Maritime Sunday Herald",,,,,
480,"New Brunswick Times","Saint John","weekly",,,1832,,,,"Yes",,,,,,322,
486,"New Star","Saint John","daily",14,3,1910,,,,,,,,,,326,"Published by former employees of the ""'Star"" after merger of ""Star"" and ""Evening Times""."
487,"New Week","Saint John","weekly",9,3,1950,,,,,,,,,,,
489,"Nitellub","Saint John","irregular",,9,1970,,10,1971,"Yes",,,,,,,
60,"Northern Herald","Chatham","2/weekly",,1,1875,,,1881,"Yes",,,,,,27,
9,"Northern Light (1863)","Bathurst","weekly",,,1863,,,,,,,,,,4,"Harper indicates a prospectus called ""The Northern Star and Bay of Chaleur Advertiser""."
61,"Northern Post and Weekly Advertiser","Chatham","semi-weekly",,,,,,,,,,,,,32,
62,"Northumberland News (Chatham, New Brunswick: 1979)","Chatham","weekly",30,5,1979,13,3,1991,,,,,,,,
288,"Northumberland News (Newcastle, New Brunswick: 1896)","Newcastle","weekly",,,1896,,,,"Yes",,,,,,161,
491,"Ordeal","Saint John","weekly",,4,1849,,,,"Yes",,,,,,33,
149,"Panache","Fredericton","monthly",,6,1995,,,,,,,,,,,
492,"Patriot (Saint John, New Brunswick: 1865)","Saint John","unknown",,,1865,,,,,,,,,,331,
255,"Petitcodiac Extra","Moncton","unknown",,,1866,,,,"Yes",,,,,,15,
309,"Petitcodiac News-Advertiser","Petit-Rocher","monthly",,10,1925,,,1926,"Yes",,,,,,,
494,"Phoenix Advertiser","Saint John","weekly",25,4,1846,24,4,1847,,,,,,,333,
683,"Pike Pole","Woodstock","unknown",,12,1858,,,,"Yes",,,,,,,
652,"Pilot","St. Stephen","weekly",,,1855,,,,"Yes",,,,,,431,
151,"Plain Dealer","Fredericton","weekly",4,2,1976,10,2,1978,,,,,,,,
203,"Positive Impact","Havelock","biweekly",24,8,1988,,12,1989,,,"Positive Impact",,,,,
201,"Primitive Baptist","Hartland","2/monthly",,,1905,,,,"Yes",,,,,,,
315,"Pro-Kent","Richibucto","weekly",11,9,1985,,,,,,,,,,,
259,"Pro-vision","Moncton","weekly",17,8,1983,23,10,1985,,,,,,,,
627,"Provincialist or Charlotte County Advertiser","St. Andrews","weekly",,,1855,13,12,1859,"Yes",,,,,,193,
498,"Quidnunc","Saint John","irregular",27,2,1967,20,3,1967,,"Centennial","Equinox",,,,,"Only two issues published (Feb 27, Mar 20).\nStudent Publication of the University of New Brunswick in Saint John."
501,"Railway Record","Saint John","weekly",3,9,1904,,,1906,,,,,,,345,
261,"Reconstruction Free Press","Moncton","unknown",,,1935,,,,"Yes",,,,,,,
502,"Recorder","Saint John","weekly",20,11,1930,,,1936,"Yes",,,,,,,
152,"Religious Intelligencer (Fredericton, New Brunswick: 1887)","Fredericton","weekly",1,1,1887,25,10,1902,,"Religious Intelligencer","Religious Intelligencer",,,,348,
262,"Rencontre","Moncton","unknown",,,1964,,5,1965,,"Bleuettes",,,,,,
313,"Renforth Reporter","Renforth","2/monthly",10,8,1918,,,,,,,,,,,
504,"Reporter (Saint John, New Brunswick: 1842)","Saint John","weekly",,6,1842,,,,"Yes",,,,,,349,
25,"Restigouche Pioneer","Campbellton","unknown",25,3,1889,,,1892,"Yes",,,,,,17,"Special number in 1890 called:  ""Christmas Pioneer""."
302,"River Valley Times","Perth-Andover","weekly",8,9,1995,,,,"Yes",,,,,,,
324,"Rothwell News","Rothwell","unknown",,,1943,,,1945,,,,,,,,
509,"Rural Life Journal","Saint John","monthly",30,1,1979,29,1,1981,"Yes",,,,,,,"Published as a supplement to ""The Telegraph Journal""."
510,"Saint John Albion","Saint John","weekly",,,1860,,,1861,"Yes","Albion",,,,,26,
512,"Saint John Colonist","Saint John","unknown",,,1837,,,1839,"Yes",,,,,,355,"It may be a continuation of the ""British Colonist and Mechanics' and Traders' Advocate""."
513,"Saint John Community Voice","Saint John","unknown",10,3,1972,,,,,,,,,,,
519,"Saint John Herald","Saint John","3/weekly",5,8,1842,,,1848,,"Herald","The Bee and Commercial Advertiser",,,,268,
521,"Saint John Mediator","Saint John","weekly",,,1842,,7,1843,"Yes",,,,,,361,
525,"Saint John Morning Times","Saint John","2/weekly",,10,1851,,,1853,"Yes",,"Morning Times",,,,393,
527,"Saint John Observer","Saint John","weekly",,,1851,,,1855,"Yes",,"The Observer and Literary Gazette",,,,364,
528,"Saint John Weekly Globe (1900)","Saint John","weekly",,,1900,,,1913,"Yes","British Constitution and Weekly Globe","Weekly Globe",,,,265,"A weekly edition of ""Daily Evening Globe"", 1859-66, intended for country subscribers."
529,"Saint John Weekly News","Saint John","weekly",,,1874,,,1883,"Yes","Morning News","Weekly News",,,,325,"Weekly edition of ""Saint John Daily News"" (1871) and its successors."
530,"Saint John Weekly Sun","Saint John","weekly",,11,1878,,,1897,"Yes",,"Semi Weekly Sun",,,,382,
656,"Saint Stephen Courant and General Advertiser","St. Stephen","unknown",17,2,1842,,,,,,,,,,436,
657,"Saint Stephen Times","St. Stephen","weekly",,3,1869,,,1870,"Yes","Schoodic Times",,,,,439,
531,"Satirist (1848)","Saint John","weekly",,,1848,,,,,,,,,,367,"Harper indicates prospectus issued for [v 1,no 1, 1848?] but no record of actual publication."
532,"Satirist (1879)","Saint John","weekly",,3,1879,,,,"Yes",,,,,,368,
534,"Saturday Globe","Saint John","weekly",,1,1886,,,1899,"Yes",,,,,,265,"Saturday edition of ""Saint John Globe""."
658,"Schoodic Times","St. Stephen","weekly",,3,1869,,,,,,"Saint Stephen Times",,,,344,
643,"Sea Side News","St. Martins","monthly",,2,1972,,,,"Yes",,,,,,,
