"intNewspaperID","strPlace","strNewspaper","strInterval","intStartingVolume","intStartingNumber","intStartingDay","intStartingMonth","intStartingYear","intEndingVolume","intEndingNumber","intEndingDay","intEndingMonth","intEndingYear","strContinuesFrom","strContinuedBy","strMergedWith","strToForm","strAbsorbedBy","intHarper","strNoteEN","strNoteFR","ysnContinued","ysnFrench","ysnDatesQuestionable"
"51","Chatham","Herald","unknown","0","0","0","0","1896","0","0","0","0","0","-","-","-","-","-","26","-","-","False","False","True"
"52","Chatham","Liberal Conservative","unknown","0","0","0","0","1854","0","0","0","0","0","-","-","-","-","-","28","Only prospectus was published.","Seul le prospectus a été publié.","False","False","True"
"53","Chatham","The Mercury","weekly","1","1","21","2","1826","3","53","31","3","1829","-","50","-","-","-","30","Published in Miramichi (later called Chatham).\nMay also have been known as the ""Miramichi Mercury"".","Publié à Miramichi (plus tard appelé Chatham). Peut aussi avoir été publié sous le nom de « Miramichi Mercury ».","False","False","False"
"54","Chatham","Miramichi Advance","weekly","3","8","28","12","1876","30","1","10","11","1904","65","-","-","-","-","29","Continues numbering of ""St. Lawrence Advance"".","Poursuit la numérotation du « St. Lawrence Advance ».","False","False","False"
"55","Chatham","Miramichi Leader Weekend","weekly","22","28","8","5","1987","0","0","0","12","1990","58","58","-","-","-","0","-","-","False","False","False"
"56","Chatham","Miramichi Press","weekly","1","1","0","11","1964","11","48","22","10","1975","-","57","-","-","-","0","-","-","False","False","True"
"57","Chatham","Miramichi Press Weekly","weekly","11","49","29","10","1975","14","13","27","12","1978","56","58","-","-","-","0","-","-","False","False","False"
"58","Chatham","Miramichi Weekend","varies","14","14","5","1","1979","0","0","0","0","0","57","55","-","-","-","0","Microfilmed with ""Observer"" and ""Bugle"".","Microfilmé avec l'""Observer"" et le ""Bugle"".","True","False","False"
"59","Chatham","The North Star","3/weekly","2","184","1","9","1880","2","186","8","9","1880","160","66","-","-","-","33","-","-","False","False","False"
"60","Chatham","Northern Herald","2/weekly","1","1","0","1","1875","0","0","0","0","1881","-","-","-","-","-","27","-","-","False","False","True"
"61","Chatham","Northern Post and Weekly Advertiser","semi-weekly","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","32","-","-","False","False","False"
"62","Chatham","Northumberland News","weekly","1","1","30","5","1979","12","43","13","3","1991","-","-","-","-","-","0","-","-","False","False","False"
"63","Chatham","Nugget","monthly","1","1","0","12","1897","1","6","0","6","1898","-","41","-","-","-","0","-","-","False","False","False"
"64","Chatham","Nugget Extra","unknown","0","0","7","5","1898","0","0","28","5","1898","-","-","-","-","-","0","Contains Spanish American War news.","Contient des nouvelles de la guerre hispano-américaine.","False","False","False"
"65","Chatham","St. Lawrence Advance","weekly","1","1","6","11","1874","3","7","21","12","1876","-","54","-","-","-","34","-","-","False","False","False"
"66","Chatham","The Star","2/weekly","2","187","15","9","1880","4","30","23","11","1881","59","-","-","-","-","36","-","-","False","False","True"
"67","Chatham","Temperance Telegraph","unknown","0","0","0","0","1854","0","0","0","0","0","-","-","-","-","-","37","Harper indicates prospectus published.","Harper mentionne la publication du prospectus.","False","False","False"
"68","Chatham","Weekly World","weekly","1","1","26","1","1882","0","0","0","7","1923","-","-","-","-","-","38","-","-","False","False","True"
"69","Chatham","The World","2/weekly","1","1","18","1","1882","48","19","23","3","1929","-","-","41","42","-","38","v 1, no 1 was called The Chatham World.","L'édition numérotée vol. 1, no 1 avait pour nom « The Chatham World ».","False","False","False"
"70","Chipman","Grand Lake Mirror","monthly","1","1","0","5","1970","0","0","0","0","0","-","-","-","-","-","0","v1, no 1 was called ""I Need a Name"".","L'édition numérotée vol. 1, no 1 avait pour nom « I Need a Name ».","True","False","False"
"71","Dalhousie","Chaleur Zephyr","unknown","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","42","Seems to have been part of ""Icicle""  (Dalhousie).","Semble avoir fait partie du ""Icicle"" (Dalhousie).","False","False","False"
"72","Dalhousie","Dalhousie News","weekly","1","1","27","11","1929","0","0","0","9","1994","-","-","-","-","27","14","-","-","False","False","False"
"73","Dalhousie","Icicle","unknown","1","1","0","0","1886","0","0","0","0","0","-","-","-","-","-","42","-","-","True","False","True"
"74","Dalhousie","Town Crier","unknown","0","0","13","12","1932","0","0","8","9","1933","-","-","-","-","-","0","-","-","False","False","False"
"75","Doaktown","The Gem Press","weekly","1","1","0","0","1914","0","0","0","0","0","-","-","-","-","-","0","Editor - Parker, Thomas","Éditeur : Thomas Parker","True","False","True"
"76","Doaktown","Miramichi Headwaters","weekly","1","1","7","5","1985","0","0","0","0","0","-","-","-","-","-","0","-","-","True","False","False"
"77","Dorchester","Dorchester Patriot","weekly","0","0","0","0","1909","0","0","0","0","0","-","-","-","-","-","45","-","-","False","False","True"
"78","Dorchester","The Spectator","weekly","1","1","10","7","1897","1","41","16","4","1898","-","-","-","-","-","46","-","-","False","False","False"
"79","Edmundston","Le Bouclier","irregular","1","1","0","0","1957","0","0","0","0","1980","-","84","-","-","-","0","-","-","False","True","False"
"80","Edmundston","Edmundston Observer","weekly","1","1","17","3","1922","3","0","0","0","1925","-","-","-","-","195","49","-","-","False","False","True"
"81","Edmundston","L'Eglise d'Edmundston, journal diocésain","monthly","1","1","0","11","1973","6","6","0","6","1979","-","-","-","-","-","0","-","-","False","True","False"
"82","Edmundston","Le Madawaska","weekly","1","1","27","11","1913","0","0","0","0","0","-","-","-","-","-","48","An index is available on a separate NBFA microfilm 1913-74.","Un index est disponible sur microfilm séparé NBFA 1913-74.","True","True","False"
"83","Edmundston","The Madawaska Review","weekly","0","0","0","0","1929","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"84","Edmundston","L'Oculus","irregular","1","1","0","11","1984","0","0","0","0","0","79","-","-","-","-","0","-","-","True","True","False"
"85","Edmundston","La République","weekly","0","1","30","8","1978","0","9","19","10","1982","-","-","-","-","-","0","-","-","False","False","False"
"86","Edmundston","Times","2/monthly","1","1","0","0","1903","0","0","0","0","1905","-","-","-","-","-","50","-","-","False","False","True"
"87","Edmundston","Times Gazette","2/monthly","0","0","0","0","1905","0","0","0","0","1909","86","-","-","-","-","51","-","-","False","False","True"
"88","Eel Ground","Eel Ground Times","unknown","1","1","0","4","1869","0","0","0","0","0","-","-","-","-","-","156","-","-","False","False","True"
"89","Elgin","The Rural Report","monthly","0","0","0","9","1982","0","0","0","8","1988","-","264","-","-","-","0","-","-","False","False","False"
"90","Fairvale","The Kennebecasis Valley Post","varies","1","1","12","2","1979","2","24","19","6","1981","-","-","-","-","-","0","-","-","False","False","False"
"91","Fairvale","The Review and Labour News","unknown","1","1","21","8","1907","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"92","Florenceville","Carleton North News","weekly","1","1","5","4","1993","2","38","0","12","1994","-","-","-","-","-","0","-","-","False","False","False"
"93","Florenceville","The Times","weekly","1","1","24","4","1969","1","10","26","6","1969","-","-","676","677","-","0","-","-","False","False","False"
"94","Florenceville","Topics","monthly","0","0","0","0","1906","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"95","Fredericton","L'Activité française","monthly","1","1","0","6","1968","0","0","0","0","1969","-","-","-","-","-","0","-","-","False","True","False"
"96","Fredericton","Agenutemegan","monthly","1","1","0","11","1971","0","0","0","0","1989","-","-","-","-","-","0","-","-","False","False","True"
"97","Fredericton","The Agriculturist","weekly","1","1","13","4","1878","2","22","6","9","1879","-","141","-","-","-","55","Probably replaced ""Colonial Farmer"".","À probablement remplacé le ""Colonial Farmer"".","False","False","False"
"98","Fredericton","Akwinyan","unknown","1","1","123","2","1986","0","0","0","0","0","-","-","-","-","-","0","Numbering of issues is irregular.","Numérotation irrégulière.","True","False","False"
"99","Fredericton","The Amaranth","weekly","1","1","0","0","1849","0","0","0","0","1851","-","-","-","-","-","57","-","-","False","False","True"
"100","Fredericton","Aquinian","irregular","0","0","0","9","1964","0","0","0","0","0","36","-","-","-","-","0","-","-","False","False","True"
"101","Fredericton","Banner of New Brunswick","unknown","1","1","0","1","1962","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"102","Fredericton","Beaver Express","2/monthly","1","1","0","2","1972","1","2","0","3","1972","-","-","-","-","-","0","Sub-title - A Community Newspaper.","Sous-titre : « A Community Newspaper ».","False","False","True"
"103","Fredericton","The Bee","weekly","1","1","22","11","1878","0","0","0","0","1879","-","-","-","-","-","59","-","-","False","False","True"
"104","Fredericton","The Brunswick Business Journal","biweekly","1","1","0","0","1984","3","0","0","9","1986","-","217","-","-","-","0","-","-","False","False","True"
"105","Fredericton","The Brunswickan","weekly","42","1","0","10","1922","0","0","0","0","0","169","-","-","-","-","101","-","-","True","False","False"
"106","Fredericton","The Capital","varies","1","1","11","9","1880","10","13","7","12","1889","120","122","173","135","-","61","-","-","False","False","True"
"107","Fredericton","Captial Free Press","varies","1","5","10","11","1949","0","0","0","10","1958","143","-","602","108","-","62","-","-","False","False","False"
"108","Fredericton","Capital-Weekly Free Press","weekly","9","33","8","5","1958","13","13","22","3","1962","-","-","-","-","-","62","Formed by merger of ""Capital Free Press"" and ""Weekly Press"" (Saint John)","Formé de la fusion du ""Capital Free Press"" et du ""Weekly Press"" (Saint John).","False","False","False"
"109","Fredericton","Colonial Farmer","weekly","1","1","6","7","1863","0","0","0","4","1878","-","97","-","-","-","66","Began a new series of numbering on Oct 6, 1873.","Nouvelle numérotation à partir du 6 octobre 1873.","False","False","True"
"110","Fredericton","The Commercial Advertiser and Fredericton Business-Man's Friend","unknown","1","1","0","6","1862","0","0","0","0","0","-","-","-","-","-","67","-","-","False","False","True"
"111","Fredericton","The Conservative","weekly","0","0","0","0","1835","0","0","0","0","0","-","-","-","-","-","0","See ""Fredericton Newspapers and Their Times"", James A. Neville.","Voir « Fredericton Newspapers and Their Times », par James A. Neville.","False","False","False"
"112","Fredericton","Cropley's Celestial Spectator","weekly","1","1","0","0","1880","0","0","0","0","0","-","-","-","-","-","68","-","-","False","False","False"
"113","Fredericton","The Daily Gleaner","daily","1","1","25","11","1889","0","0","0","0","0","129","-","-","-","-","78","Microfilm indexed: NBFU 1968-1981","Microfilm indexé : NBFU, 1968-1981","True","False","False"
"114","Fredericton","Daily Herald","daily","1","1","24","5","1882","14","210","7","9","1909","123","121","-","-","-","80","-","-","False","False","True"
"115","Fredericton","Daily Mail","daily","14","203","3","8","1910","45","112","16","5","1939","114","-","-","-","-","87","Preparation for filming in progress - 05/96.","Préparation en cours pour le microfilmage en mai 1996.","False","False","False"
"116","Fredericton","Equal Times","monthly","0","0","0","4","1975","0","0","0","0","1976","-","-","-","-","-","0","""New Brunswick's first women's newspaper"".","« New Brunswick's first women's newspaper » (Le premier journal féminin du Nouveau-Brunswick).","False","False","True"
"117","Fredericton","The Express","weekly","0","0","0","0","1863","0","0","0","0","0","-","-","-","-","-","71","See ""Fredericton Newspapers and Their Times"" by James L. Neville, p.13.","Voir James A. Neville, « Fredericton Newspapers and Their Times », p. 13.","False","False","False"
"118","Fredericton","Fat City","monthly","1","1","0","6","1980","1","2","0","7","1980","126","-","-","-","-","0","-","-","False","False","False"
"119","Fredericton","Food Shopper's Guide","2/weekly","1","1","30","5","1974","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"120","Fredericton","The Fredericton Capital","weekly","6","101","15","5","1886","7","19","15","1","1887","-","106","-","-","-","61","Formed by merger of: The"" Fredericton Evening Capital"" and The ""Weekly Capital"".","Formé de la fusion du "" Fredericton Evening Capital"" et du ""Weekly Capital"".","False","False","False"
"121","Fredericton","Fredericton Daily Herald","daily","1","1","11","10","1895","2","207","12","6","1897","114","114","-","-","-","80","-","-","False","False","False"
"122","Fredericton","The Fredericton Evening Capital","3/weekly","2","2","15","9","1881","6","100","8","5","1886","106","-","171","120","-","61","-","-","False","False","False"
"123","Fredericton","Fredericton Evening Herald","3/weekly","1","1","0","12","1881","1","55","19","5","1882","-","114","-","-","-","80","-","-","False","False","True"
"124","Fredericton","Fredericton Farmer","weekly","10","35","1","5","1889","26","32","12","5","1905","141","-","-","-","-","88","-","-","False","False","False"
"125","Fredericton","Fredericton Globe","weekly","1","1","0","0","1890","4","0","0","0","1893","-","-","-","-","-","76","-","-","False","False","True"
"126","Fredericton","Fredericton Music Flashback","unknown","1","0","0","5","1980","0","0","0","0","0","-","118","-","-","-","0","-","-","False","False","True"
"127","Fredericton","Fredericton Telegraph","weekly","1","1","6","8","1806","1","24","7","2","1807","-","-","-","-","-","77","Fredericton's first newspaper.","Premier journal de Fredericton.","False","False","False"
"128","Fredericton","Fredericton Trade Reviews","unknown","0","0","0","0","1887","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","False"
"129","Fredericton","The Gleaner","3/weekly","1","1","1","5","1884","6","88","23","11","1889","-","113","-","-","174","78","York Gleaner continued publication until December 1884.","Le « York Gleaner » a continué de paraître jusqu'en décembre 1884.","False","False","False"
"130","Fredericton","The Gleaner","2/weekly","0","0","0","0","1881","0","0","0","0","0","-","-","-","-","-","78","-","-","False","False","False"
"131","Fredericton","The Gleaner","weekly","6","0","17","1","1886","0","0","0","0","1891","-","-","-","-","-","0","-","-","False","False","True"
"132","Fredericton","The Head Quarters","weekly","0","0","0","0","1853","25","0","0","0","1876","133","-","-","-","-","79","-","-","False","False","True"
"133","Fredericton","The Head Quarters or Literary Commercial and Agricultural Journal","weekly","1","1","25","7","1843","0","0","0","0","1853","-","132","-","-","-","79","-","-","False","False","True"
"134","Fredericton","The Herald","varies","1","1","14","12","1889","0","0","0","0","1909","-","157","-","-","-","80","Formed by merger of : The ""Capital"" and ""Weekly Herald"".","Formé par la fusion du ""Capital"" et du ""Weekly Herald"".","False","False","False"
"135","Fredericton","Herald","3/weekly","1","1","0","2","1865","0","0","12","6","1865","-","-","-","-","-","0","-","-","False","False","True"
"136","Fredericton","Kings Highway","2/monthly","0","0","0","0","1910","0","0","0","0","1918","680","-","-","-","-","452","-","-","False","False","True"
"137","Fredericton","The Loyalist","weekly","1","1","31","1","1852","1","18","7","8","1852","454","-","-","-","-","291","See ""Fredericton Newspapers and Their Times""  by James A. Neville","Voir « Fredericton Newspapers and Their Times », par James A. Neville.","False","False","False"
"138","Fredericton","Loyalist and Conservative","weekly","1","1","1","1","1846","0","0","30","6","1846","453","453","-","-","-","86","-","-","False","False","False"
"139","Fredericton","Loyalist and Conservative Advocate","weekly","2","1","25","5","1843","4","31","25","12","1845","451","138","-","-","-","291","-","-","False","False","False"
"140","Fredericton","Mal I Mic News","monthly","1","1","0","0","1973","0","0","0","0","0","-","-","-","-","-","0","-","-","True","False","True"
"141","Fredericton","The Maritime Farmer","weekly","2","2","13","9","1879","10","34","24","4","1889","97","124","-","-","-","88","-","-","False","False","False"
"142","Fredericton","Morning Star","3/weekly","1","1","10","10","1878","2","0","26","5","1879","-","160","-","-","-","97","Extant issues were published somewhat irregularly, therefore, publication dates of missing issues are uncertain.  The date when the title changed to The ""Star"" is unknown.","Comme les éditions existantes ont été publiées de façon plutôt irrégulière, les dates de publication des éditions manquantes sont incertaines. On ignore a quel moment le nom a été changé à The ""Star"".","False","False","True"
"143","Fredericton","Name Me","weekly","1","1","13","10","1949","1","4","3","11","1949","-","107","-","-","-","62","-","-","False","False","False"
"144","Fredericton","The New Brunswick Anglican","monthly","1","1","0","1","1977","0","0","0","10","1851","-","-","-","-","-","0","Incorporates The Diocesan News","Inclut « The Diocesan News ».","True","False","False"
"145","Fredericton","New Brunswick Churchman","weekly","1","1","0","9","1850","0","0","0","10","1851","-","-","-","-","-","89","Anglican denominational weekly used by the Bishop of Fredericton for official communications.\nSee also ""Church Witness"", Saint John.","Voir aussi ""Church Witness"" de Saint John.","False","False","False"
"146","Fredericton","New Brunswick Reporter and Fredericton Advertiser","weekly","1","1","23","11","1844","44","20","10","3","1888","-","147","-","-","-","90","-","-","False","False","False"
"147","Fredericton","New Brunswick Reporter and Temperance Journal","weekly","44","21","17","3","1888","0","0","0","0","0","153","154","-","-","-","90","-","-","False","False","False"
"148","Fredericton","The New Brunswick Royal Gazette","unknown","1","1","10","3","1815","15","11","12","5","1828","515","155","-","-","-","95","-","-","False","False","False"
"149","Fredericton","Panache","monthly","1","1","0","6","1995","0","0","0","0","0","-","-","-","-","-","0","-","-","True","True","False"
"150","Fredericton","Philanthropist","weekly","1","1","0","12","1861","2","0","0","0","1863","-","-","-","-","-","94","-","-","False","False","True"
"151","Fredericton","Plain Dealer","weekly","1","1","4","2","1976","0","0","10","2","1978","-","-","-","-","-","0","-","-","False","False","False"
"152","Fredericton","Religious Intelligencer","weekly","34","1","5","1","1887","50","26","25","6","1902","503","503","-","-","-","348","-","-","False","False","False"
"153","Fredericton","The Reporter and Fredericton Advertiser","weekly","44","50","6","10","1888","56","52","31","12","1902","154","-","-","-","-","90","-","-","False","False","False"
"154","Fredericton","The Reporter and Temperance Journal","weekly","44","22","24","3","1888","44","49","29","9","1888","154","153","-","-","-","90","A joint publication of The ""Temperance Journal and The New Brunswick Reporter""  and The ""Reporter"". Microfilm is included as part of ""New Brunswick Reporter and Temperance Journal""","Publication commune des journaux The ""Temperance Journal and The New Brunswick Reporter""  et The ""Reporter"". Le microfilm est inclus avec le ""New Brunswick Reporter and Temperance Journal"".","False","False","False"
"155","Fredericton","The Royal Gazette","weekly","15","12","20","5","1828","16","0","22","6","1977","148","156","-","-","-","95","Officially became a government publication in 1842.","Devenue une publication officielle du gouvernement en 1842.","False","False","True"
"156","Fredericton","The Royal Gazette - La Gazette royale","weekly","135","0","29","6","1977","0","0","0","0","0","155","-","-","-","-","95","-","-","True","False","False"
"157","Fredericton","The Semi-Weekly Mail","2/weekly","0","3","0","0","1910","0","0","0","0","1939","135","-","-","-","-","87","-","-","False","False","True"
"158","Fredericton","The Sentinel and New Brunswick General Advertiser","weekly","1","1","11","12","1837","0","0","0","0","1844","-","-","-","-","-","96","-","-","False","False","False"
